,m/z,I,S/N
5811,343.1292,3560502,6.9
5812,343.1325,11314490,26.9
5813,343.14057,81273668,207.6
5814,343.14771,4045389,8.2
5815,343.15011,5789840,12.7
5816,343.15585,18578520,45.7
5817,343.15917,5270364,11.3
5818,343.16918,3607656,7.0
5819,343.17695,21320818,52.8
5820,343.18812,2844864,5.1
5821,343.1923,3066213,5.6
5822,343.21343,4637087,9.7
5823,343.27389,2504555,4.2
5824,343.30405,2450384,4.1
5825,343.32671,2680269,4.7
5826,343.93017,2516023,4.2
5827,343.94498,3525577,6.8
5828,343.97482,3625230,7.0
5829,344.04175,6116384,13.3
5830,344.04533,3997476,7.9
5831,344.05017,2675690,4.6
5832,344.07106,6728004,14.8
5833,344.07829,9331533,21.4
5834,344.08161,3510097,6.7
5835,344.08653,4328599,8.7
5836,344.08961,10339802,24.0
5837,344.09937,9540455,21.9
5838,344.10745,18851312,45.5
5839,344.11067,2529396,4.2
5840,344.11464,7292153,16.2
5841,344.12278,6465923,14.2
5842,344.12609,7520903,16.8
5843,344.13576,7262995,16.2
5844,344.14383,14891293,35.5
5845,344.15111,3461542,6.5
5846,344.15919,3988272,7.9
5847,344.18037,3262346,6.0
5848,344.65871,2497935,4.1
5849,344.97241,7021962,15.6
5850,344.99472,2745925,4.7
5851,345.01187,3212585,5.9
5852,345.01592,2887518,5.1
5853,345.02606,13257035,31.4
5854,345.02942,4023119,8.0
5855,345.04697,4826276,10.0
5856,345.0624,25447030,62.2
5857,345.06577,12739706,30.0
5858,345.07363,8432388,19.1
5859,345.07542,9628294,22.2
5860,345.08356,28084880,68.9
5861,345.08687,12370580,29.1
5862,345.09343,6085787,13.2
5863,345.09578,3157150,5.8
5864,345.0988,40358050,100.0
5865,345.10057,4367012,8.8
5866,345.10215,32516774,80.2
5867,345.11003,13331119,31.5
5868,345.11189,20986034,50.9
5869,345.11331,2821811,4.9
5870,345.11715,3212984,5.9
5871,345.11994,43839675,108.9
5872,345.12946,4450119,9.0
5873,345.13338,3520715,6.7
5874,345.13516,43202765,107.2
5875,345.13845,8915281,20.4
5876,345.14655,4983419,10.4
5877,345.14825,9759965,22.5
5878,345.15631,21832423,53.1
5879,345.16633,2554547,4.2
5880,345.17157,27226873,66.8
5881,345.1846,2887465,5.1
5882,345.19265,4117522,8.2
5883,345.20787,4761381,9.8
5884,345.53025,2703077,4.6
5885,345.77908,2811885,4.9
5886,345.85389,2484709,4.1
5887,345.95452,2920540,5.2
5888,346.05771,10024470,23.2
5889,346.06113,2953818,5.2
5890,346.06595,4242336,8.5
5891,346.06894,4361635,8.8
5892,346.07868,2965359,5.3
5893,346.08675,3245752,6.0
5894,346.09415,10953281,25.5
5895,346.09747,3302149,6.1
5896,346.10218,7882314,17.7
5897,346.10548,7814222,17.6
5898,346.11525,6305498,13.7
5899,346.12337,7075811,15.7
5900,346.13054,8991596,20.5
5901,346.1386,9467125,21.8
5902,346.1422,2528921,4.2
5903,346.15175,3708613,7.2
5904,346.15983,3493710,6.6
5905,346.1749,6052128,13.1
5906,346.2267,2627485,4.4
5907,346.7539,2585253,4.3
5908,347.00524,4718313,9.7
5909,347.04034,4902546,10.2
5910,347.0416,28550547,70.1
5911,347.0449,4006807,7.9
5912,347.05285,5525280,11.8
5913,347.0545,2965154,5.3
5914,347.06272,3874348,7.6
5915,347.07223,5185334,10.9
5916,347.07573,2519099,4.1
5917,347.07797,53794237,134.1
5918,347.0813,17605569,42.4
5919,347.0892,25338826,62.0
5920,347.09102,18170572,43.8
5921,347.09906,13055445,30.8
5922,347.1088,9081569,20.8
5923,347.11278,4605669,9.4
5924,347.11434,91175399,228.8
5925,347.11771,27883499,68.4
5926,347.12557,17651956,42.5
5927,347.12741,21770742,52.9
5928,347.13549,12131840,28.5
5929,347.14531,4721099,9.7
5930,347.14901,3801359,7.4
5931,347.15075,83376657,209.0
5932,347.15401,6821013,15.0
5933,347.16379,5138336,10.8
5934,347.16548,2830530,4.9
5935,347.17199,3621226,6.9
5936,347.18409,3131000,5.7
5937,347.18713,31261243,77.0
5938,347.22363,3136165,5.7
5939,347.29033,2831154,4.9
5940,347.32723,2759901,4.8
5941,347.69354,2833986,4.9
5942,347.69639,2480645,4.0
5943,347.82687,2517882,4.1
5944,348.03696,6522506,14.3
5945,348.04491,5180307,10.9
5946,348.04957,2517480,4.1
5947,348.07319,18324531,44.2
5948,348.0765,3234423,6.0
5949,348.08133,10974012,25.6
5950,348.08444,6840768,15.1
5951,348.09259,3831625,7.5
5952,348.09437,5173899,10.9
5953,348.10229,2562164,4.3
5954,348.10577,2924120,5.2
5955,348.1096,21737565,52.8
5956,348.11768,17818214,42.9
5957,348.12097,7096426,15.7
5958,348.13077,6167541,13.4
5959,348.13586,5999802,13.0
5960,348.14594,10369542,24.0
5961,348.15403,19645071,47.5
5962,348.15741,2467667,4.0
5963,348.16648,2523389,4.2
5964,348.18201,2625039,4.4
5965,348.19052,6814265,15.0
5966,348.22203,3591068,6.9
5967,348.7328,2760958,4.7
5968,348.95503,18307096,43.3
5969,349.01784,4358687,8.6
5970,349.02098,12952674,30.0
5971,349.03212,4026159,7.8
5972,349.03945,2943479,5.1
5973,349.04977,2594243,4.2
5974,349.05742,47586955,116.1
5975,349.06072,4529039,9.1
5976,349.06858,12148120,28.0
5977,349.0705,5675482,11.9
5978,349.07583,3492640,6.5
5979,349.08835,6138158,13.1
5980,349.09094,5872113,12.4
5981,349.09238,5335986,11.1
5982,349.09377,111876788,275.9
5983,349.09709,14258872,33.2
5984,349.10501,27378881,65.9
5985,349.1068,17724867,41.9
5986,349.11428,2615755,4.3
5987,349.12198,2829940,4.8
5988,349.12477,7914711,17.5
5989,349.12723,6522457,14.0
5990,349.12821,3968475,7.7
5991,349.13013,152203997,376.2
5992,349.13337,16034784,37.7
5993,349.14129,10497001,23.9
5994,349.14323,10783723,24.6
5995,349.15533,2554169,4.1
5996,349.16363,4383490,8.7
5997,349.1665,89367301,220.0
5998,349.16951,2604681,4.3
5999,349.19392,2568420,4.2
6000,349.20286,24337198,58.3
6001,349.23923,2537303,4.1
6002,349.25546,2646153,4.4
6003,349.32873,2742331,4.6
6004,349.68341,2623878,4.3
6005,349.69496,2568267,4.2
6006,349.95431,5389523,11.2
6007,349.99317,2560414,4.2
6008,350.01605,2932055,5.1
6009,350.03476,2980236,5.2
6010,350.05252,12384480,28.6
6011,350.06074,6094313,12.9
6012,350.08767,3955463,7.6
6013,350.089,24343304,58.3
6014,350.09709,21171985,50.4
6015,350.10023,6614677,14.2
6016,350.10852,3916830,7.5
6017,350.10996,3523999,6.6
6018,350.12538,21636400,51.6
6019,350.1335,29715769,71.7
6020,350.13667,5048125,10.3
6021,350.14491,2717414,4.6
6022,350.16177,7470937,16.4
6023,350.16989,18992994,45.0
6024,350.20636,4028618,7.8
6025,350.31558,2559170,4.2
6026,350.94047,2565169,4.2
6027,350.95168,3844925,7.4
6028,351.00025,2914291,5.0
6029,351.01784,2640966,4.4
6030,351.03,2840531,4.9
6031,351.03647,28731162,69.2
6032,351.04773,3830695,7.3
6033,351.05174,4411179,8.8
6034,351.05496,6359598,13.6
6035,351.06712,2998268,5.2
6036,351.06998,2997375,5.2
6037,351.07286,93045570,229.1
6038,351.07619,6060486,12.9
6039,351.08411,22780238,54.4
6040,351.08567,4272720,8.4
6041,351.0913,3668822,6.9
6042,351.09244,3879255,7.4
6043,351.10117,3563105,6.7
6044,351.10376,7615204,16.7
6045,351.10643,7745383,17.0
6046,351.10923,233954154,579.4
6047,351.11254,15678573,36.8
