,m/z,intensity,S/N,log_intensity,mz_calibrated,mz_calibrated_Hline,tdb_index,C,H,N,O,S,theo,class,DBE,mz_E_ppm_BeforeCalibration,mz_E_ppm_AfterCalibration,isotope,track
713,337.06502,13116772,31.7,7.117826969561323,337.06790409774993,,5981,14,13,2,8,0,337.0677384,N2O8,9.0,-8.064847774799725,0.49158590709888655,,True
714,337.07484,7163891,16.3,6.855148969351944,337.077724264172,,5984,12,17,0,11,0,337.0776342,O11,4.0,-8.289485022090316,0.2671911835010333,,True
715,337.09015,197628298,508.7,8.295849130460823,337.093034523642,,5989,16,17,0,8,0,337.0928904,O8,8.0,-8.129509930457184,0.42754874438175294,,True
716,337.10538,5884705,13.0,6.769724696562061,337.10826478176534,,5992,20,17,0,5,0,337.1081466,O5,12.0,-8.20686188653692,0.35057522796933793,,True
717,337.12653,112159168,287.7,8.04983477902532,337.1294151402379,,5998,17,21,0,7,0,337.1292758,O7,7.0,-8.144650130126097,0.4133139654949134,,True
718,337.1629,21102326,52.3,7.324330327965466,337.16578575671605,,6007,18,25,0,6,0,337.1656612,O6,6.0,-8.189446072834572,0.3694228991652943,,True
719,337.30835,19547343,48.3,7.291087733657257,337.3112382226371,,6024,22,41,0,2,0,337.3112028,O2,2.0,-8.457471842886008,0.10501470690355179,,True
722,338.04305,3186326,6.0,6.503290207359078,338.0459506911797,,6034,21,8,1,4,0,338.045881,N1O4,18.0,-8.374602854618669,0.20615893764896426,,True
723,338.04894,32418079,81.6,7.510787276261486,338.0518407912237,,6036,14,12,1,9,0,338.051754,N1O9,9.0,-8.324169203987505,0.25673945676358895,,True
3193,338.05705,28674348,71.9,7.457493551657127,338.0599509289774,,712,15,13,0,9,0,338.05986,O9,9.0,-8.312137383038788,0.2689730078744902,1C13,True
724,338.08536,22088022,54.9,7.344156826195216,338.0882614098615,,6044,15,16,1,8,0,338.0881394,N1O8,8.0,-8.220933171276272,0.3608818154049719,,True
3194,338.09341,32499042,81.8,7.511870559125158,338.0963115466076,,715,16,17,0,8,0,338.0962454,O8,8.0,-8.386369380193173,0.19564431280716107,1C13,True
712,337.05378,194658644,501.0,8.289273693736941,337.05666390726736,,5976,15,13,0,9,0,337.056505,O9,9.0,-8.084697846131437,0.4714558686480196,,True
388,303.10615,12425641,33.3,7.094318801878797,303.10848176661847,,4156,13,19,0,8,0,303.1085404,O8,4.0,-7.886283892934761,-0.19344021595761382,,True
657,331.05842,8246747,19.6,6.916282671149848,331.06120301249973,,5626,20,11,0,5,0,331.0611966,O5,15.0,-8.386969021195874,0.019369529806214803,,True
3172,331.053,4565523,9.8,6.659490534992736,331.0557829219298,,7454,13,13,0,10,0,331.055666,O10,7.0,-8.05302634505135,0.35317906269053734,1O18,True
591,325.03599,3452818,7.0,6.538173687043681,325.03867309824284,,5280,14,13,0,7,1,325.0387468,O7S1,8.0,-8.481450372076116,-0.22674760439881872,,True
592,325.04798,4141538,8.8,6.617161650510736,325.05066329571764,,5283,21,9,0,4,0,325.050632,O4,17.0,-8.158728945378169,0.09627951633511637,,True
593,325.0538,270376362,722.4,8.431968720177503,325.0564833915749,,5286,14,13,0,9,0,325.056505,O9,8.0,-8.321630111637795,-0.06647590433305096,,True
594,325.06507,10009018,24.5,7.000391470276351,325.0677535771992,,5290,13,13,2,8,0,325.0677384,N2O8,8.0,-8.208750622681192,0.04668934320274784,,True
595,325.06904,17341375,44.2,7.239083529774433,325.0717236425889,,5291,18,13,0,6,0,325.0717612,O6,12.0,-8.371074712881454,-0.11553575430375897,,True
3144,325.07315,4809285,10.6,6.682080514287329,325.0758337102853,,584,14,14,1,8,0,325.0758444,N1O8,8.0,-8.288527266518013,-0.03288375589129974,1C13,True
596,325.07493,7327047,17.4,6.864928977368838,325.07761373960403,,5293,11,17,0,11,0,325.0776342,O11,3.0,-8.318628276710871,-0.06294002967925609,,True
597,325.09015,284958172,761.5,8.454781116139173,325.09283399030164,,5298,15,17,0,8,0,325.0928904,O8,7.0,-8.429590682901367,-0.17351870807109326,,True
598,325.10135,6009964,13.8,6.778871870563775,325.10403417478943,,5300,14,17,2,7,0,325.1041238,N2O7,7.0,-8.532035729286363,-0.27568155563257213,,True
599,325.10544,6952177,16.4,6.8421208205673,325.10812424216164,,5301,19,17,0,5,0,325.1081466,O5,11.0,-8.32522970684131,-0.06877046482824477,,True
600,325.12653,102524430,272.5,8.010827363440695,325.1292145895758,,5307,16,21,0,7,0,325.1292758,O7,6.0,-8.445256100846601,-0.18826488043687334,,True
601,325.14186,4378915,9.5,6.6413665150963865,325.1445448421171,,5310,20,21,0,4,0,325.144532,O4,10.0,-8.217883854858169,0.03949664171832103,,True
602,325.16289,9702464,23.7,6.9868820400098,325.16557518857377,,5316,17,25,0,6,0,325.1656612,O6,5.0,-8.522425122495575,-0.26451571147499936,,True
603,325.18153,17856346,45.6,7.251792592604421,325.1842154956714,,5320,18,29,0,3,1,325.1842884,O3S1,4.0,-8.482574645831852,-0.22419388387057243,,True
604,326.0127,5177175,11.6,6.7140928453468955,326.0153992035639,,5335,12,8,1,10,0,326.0153686,N1O10,9.0,-8.185503681781626,0.09387153754614601,,True
3145,326.02081,12018915,29.9,7.079865263774766,326.0235093374531,,587,13,9,0,10,0,326.0234746,O10,9.0,-8.173031108486912,0.1065489322903343,1C13,True
605,326.02798,4365805,9.4,6.640064333912004,326.0306794558259,,5337,16,8,1,7,0,326.0306248,N1O7,13.0,-8.112121373895459,0.16764015942908336,,True
3146,326.03619,3141816,6.1,6.497180747055135,326.03888959137106,,590,17,9,0,7,0,326.0387308,O7,13.0,-7.792939181751261,0.48703223287014236,1C13,True
606,326.04913,31415050,81.9,7.497137755272929,326.05182980501297,,5342,13,12,1,9,0,326.051754,N1O9,8.0,-8.04780212906236,0.23249380512391984,,True
3147,326.05724,35408149,92.6,7.549103224128982,326.059939938914,,593,14,13,0,9,0,326.05986,O9,8.0,-8.035334370921388,0.24516637523023768,1C13,True
607,326.06443,3824159,8.0,6.582535940975158,326.06713005762754,,5345,17,12,1,6,0,326.0670102,N1O6,12.0,-7.913097367405019,0.36758587578848667,,True
608,326.08551,17452605,44.5,7.241860259529507,326.08821040568967,,5350,14,16,1,8,0,326.0881394,N1O8,7.0,-8.063464083138456,0.2177499917877723,,True
3148,326.0936,42490696,111.6,7.628293844915916,326.09630053927236,,597,15,17,0,8,0,326.0962454,O8,7.0,-8.112328913081663,0.16908895197122245,1C13,True
3149,326.12996,16332666,41.5,7.213057080914667,326.13266113968376,,600,16,21,0,7,0,326.1326308,O7,6.0,-8.189306275429013,0.0930286665036792,1C13,True
609,326.9968,10216501,25.1,7.0093021818474135,326.99951546948995,,5378,12,7,0,11,0,326.9993842,O11,9.0,-7.902767175917962,0.40143650503282086,,True
590,325.0327,19854221,50.9,7.297852851760598,325.0353830440577,,5279,17,9,0,7,0,325.0353758,O7,13.0,-8.232334691059773,0.022286982439886003,,True
587,325.01742,97824120,259.9,7.990445949791598,325.0201027924072,,5275,13,9,0,10,0,325.0201196,O10,9.0,-8.305947346563187,-0.05171246873107013,,True
586,324.99638,3584155,7.3,6.554386782850889,324.99906244590903,,5269,16,5,0,8,0,324.9989904,O8,14.0,-8.032024951291406,0.221680408664914,,True
3143,324.15059,6678487,15.6,6.824678084934147,324.15325853174687,,580,17,23,0,6,0,324.1533662,O6,6.0,-8.564464508007756,-0.3321521981530129,1C13,True
3138,322.13517,9400258,23.2,6.9731397734336005,322.1378054923179,,560,17,21,0,6,0,322.1377162,O6,7.0,-7.9040729226582895,0.27718678508915184,1C13,True
565,322.99941,3813923,8.0,6.581371920746517,323.0020596399662,,5160,17,7,0,5,1,323.0019676,O5S1,14.0,-7.918218018894583,0.28495171991947055,,True
566,323.00176,21904838,57.1,7.3405400456463,323.004409678477,,5161,13,7,0,10,0,323.0044696,O10,10.0,-8.388738407732749,-0.18551298405360248,,True
567,323.00513,5677642,13.1,6.754168004898859,323.00777973370356,,5162,10,11,0,10,1,323.0078406,O10S1,5.0,-8.391746760590369,-0.18843597213586535,,True
568,323.01707,9286746,22.9,6.967863567405798,323.0197199293763,,5165,17,7,0,7,0,323.0197258,O7,14.0,-8.221788912228845,-0.018174195606363897,,True
569,323.02037,3349471,6.8,6.524976221985457,323.02301998345786,,5166,14,11,0,7,1,323.0230968,O7S1,9.0,-8.441501635696392,-0.23780510719767986,,True
570,323.03815,165710583,447.1,8.219350245243321,323.04080027484963,,5173,14,11,0,9,0,323.040855,O9,9.0,-8.373553865341847,-0.1694062826565151,,True
571,323.04149,6382331,15.0,6.804979323791342,323.0441403295895,,5174,11,15,0,9,1,323.044226,O9S1,4.0,-8.469428579015425,-0.26519715755268075,,True
572,323.04942,8899462,21.8,6.94936375299395,323.0520704595574,,5177,13,11,2,8,0,323.0520884,N2O8,9.0,-8.259968270815138,-0.05553421026422769,,True
573,323.05341,14301195,36.5,7.155372328389702,323.05606052495204,,5178,18,11,0,6,0,323.0561112,O6,13.0,-8.361395764829497,-0.15686144348761172,,True
3139,323.06313,4081048,8.8,6.610771702838092,323.0657806842621,,7378,15,13,0,8,0,323.0658368,O8,9.0,-8.378477980865124,-0.17369753003578742,1O18,True
574,323.06869,3112096,6.1,6.493052985370096,323.0713407753917,,5182,22,11,0,3,0,323.0713674,O3,17.0,-8.287332986296217,-0.08241091893001823,,True
610,327.01533,6313103,14.6,6.800242875018265,327.0180457761399,,5383,13,11,0,8,1,327.0180114,O8S1,8.0,-8.199548362771756,0.10512002007173718,,True
575,323.07455,205435688,554.8,8.312675890844273,323.0772008714398,,5185,15,15,0,8,0,323.0772404,O8,8.0,-8.327420392333726,-0.12235018519106329,,True
577,323.08986,7717180,18.6,6.887458630105475,323.0925111223842,,5188,19,15,0,5,0,323.0924966,O5,12.0,-8.160511394607987,0.04494807020417007,,True
578,323.11096,154784601,417.5,8.189727751996847,323.1136114682474,,5194,16,19,0,7,0,323.1136258,O7,7.0,-8.250348444591152,-0.04435514769725153,,True
579,323.12617,3198957,6.4,6.505008402388505,323.12882171757514,,5197,20,19,0,4,0,323.128882,O4,11.0,-8.392935918288075,-0.18655845453131664,,True
580,323.14733,37582217,99.6,7.5749823958407925,323.14998206445296,,5203,17,23,0,6,0,323.1500112,O6,6.0,-8.297075373839935,-0.09016105841959184,,True
581,324.02746,3784431,7.9,6.578000591329781,324.0301265085298,,5228,20,6,1,4,0,324.030231,N1O4,18.0,-8.551671217355143,-0.3224744490295183,,True
582,324.03332,20783671,53.4,7.317722259016893,324.03598660480486,,5230,13,10,1,9,0,324.036104,N1O9,9.0,-8.591635208710136,-0.3622904784752231,,True
3140,324.04145,24728130,64.0,7.393191275221467,324.04411673837643,,570,14,11,0,9,0,324.04421,O9,9.0,-8.517356320063273,-0.2878052460496798,1C13,True
583,324.04856,4386956,9.5,6.642163278568831,324.05122685519217,,5233,17,10,1,6,0,324.0513602,N1O6,13.0,-8.64122279332247,-0.4114928193013467,,True
584,324.06973,31816296,83.0,7.502649618415711,324.0723972030226,,5238,14,14,1,8,0,324.0724894,N1O8,8.0,-8.514761635926101,-0.28449492137381,,True
3141,324.07784,35478132,92.8,7.549960745222564,324.0805073362775,,575,15,15,0,8,0,324.0805954,O8,8.0,-8.5022060534399,-0.27173401848458695,1C13,True
585,324.10614,9096346,22.1,6.95886697136227,324.1088078012938,,5244,15,18,1,7,0,324.1088748,N1O7,7.0,-8.437905323416832,-0.20671666669572555,,True
3142,324.11426,27807909,72.3,7.444168333563793,324.11692793472497,,578,16,19,0,7,0,324.1169808,O7,7.0,-8.394500014483853,-0.16310553961501106,1C13,True
576,323.0858,9593911,23.7,6.981995685321438,323.08845105583634,,5187,14,15,2,7,0,323.0884738,N2O7,8.0,-8.275751742302472,-0.07039608489368329,,True
656,331.05455,5681365,12.8,6.754452691476484,331.0573329478307,,5625,15,11,2,7,0,331.0571738,N2O7,11.0,-7.9255192384559265,0.4807261200825825,,True
611,327.03321,241313897,644.5,8.382582333167079,327.03592607204604,,5389,13,11,0,10,0,327.0357696,O10,8.0,-7.8266667989080885,0.4784554492287648,,True
613,327.04847,24549246,63.5,7.390038157841144,327.05118632460255,,5393,17,11,0,7,0,327.0510258,O7,12.0,-7.814682720319113,0.49082433596001823,,True
639,329.09632,3703059,7.5,6.5685606316201435,329.0990703014846,,5522,13,17,2,8,0,329.0990384,N2O8,6.0,-8.26012744737335,0.09693581830283494,,True
640,329.10029,26614744,68.2,7.425122293168099,329.1030403675154,,5523,18,17,0,6,0,329.1030612,O6,10.0,-8.420462544274285,-0.0633007925618488,,True
641,329.10367,6886365,16.0,6.8379900380150165,329.10642042373365,,5524,15,21,0,6,1,329.1064322,O6S1,5.0,-8.393029517791492,-0.03578254682142871,,True
3161,329.11003,4441062,9.5,6.647486836238284,329.1127805295182,,7441,15,19,0,8,0,329.1127868,O8,6.0,-8.376459713980385,-0.01905268354186743,1O18,True
3162,329.1126,3555818,7.1,6.550939524059005,329.11535057226496,,3597,15,19,0,8,0,329.1152504,O8,6.0,-8.053106007004923,0.3043683477359066,2C13,True
642,329.12143,60115959,157.0,7.778989779583115,329.1241807191361,,5530,15,21,0,8,0,329.1241904,O8,5.0,-8.3871076041078,-0.02941401494308197,,True
643,329.1367,14899212,37.2,7.1731632997477455,329.1394509731325,,5533,19,21,0,5,0,329.1394466,O5,9.0,-8.344791328838227,0.013286564620252989,,True
644,329.15791,5994667,13.6,6.777765063318241,329.1606613259484,,5539,16,25,0,7,0,329.1605758,O7,4.0,-8.0987827704134,0.2598304739231753,,True
645,330.02272,8203779,19.5,6.914013952479694,330.0254857268157,,5561,15,8,1,8,0,330.0255394,N1O8,12.0,-8.542975204728148,-0.16263342651858045,,True
3164,330.03079,7044239,16.4,6.847834082477001,330.03355586133813,,630,16,9,0,8,0,330.0336454,O8,12.0,-8.651845167259982,-0.2713016176689961,1C13,True
646,330.0438,15423009,38.6,7.1881691120165865,330.04656607821283,,5565,12,12,1,10,0,330.0466686,N1O10,7.0,-8.69149812106097,-0.31062815321366555,,True
3165,330.05193,38862125,100.7,7.589526544347704,330.0546962137422,,633,13,13,0,10,0,330.0547746,O10,7.0,-8.618569458338145,-0.2374946942189311,1C13,True
647,330.05908,9829047,23.8,6.992511411758369,330.0618463329368,,5568,16,12,1,7,0,330.0619248,N1O7,11.0,-8.618988699514516,-0.2377343682937472,,True
648,330.08021,10386646,25.2,7.016475330151061,330.082976685198,,5573,13,16,1,9,0,330.083054,N1O9,6.0,-8.616013350330492,-0.23422832852548242,,True
3167,330.08833,30875489,79.5,7.4896138445938725,330.0910968205723,,638,14,17,0,9,0,330.09116,O9,6.0,-8.573389241981541,-0.1913999383812343,1C13,True
3168,330.10359,3929143,8.1,6.59429783511895,330.1063570749899,,640,18,17,0,6,0,330.1064162,O6,10.0,-8.561481574787496,-0.17910893949225723,1C13,True
3169,330.12472,8973590,21.5,6.952966222896489,330.1274874272885,,642,15,21,0,8,0,330.1275454,O8,5.0,-8.558510307056737,-0.17560701097503428,1C13,True
650,331.00681,20350608,51.6,7.308577388848734,331.0095921501276,,5610,15,7,0,9,0,331.009555,O9,12.0,-8.29281197035064,0.11223279533139698,,True
651,331.01013,8835477,21.1,6.946230000687813,331.01291220559966,,5611,12,11,0,9,1,331.012926,O9S1,7.0,-8.446800050307893,-0.04167329807336604,,True
3170,331.0199,3228835,6.3,6.5090458522576595,331.0226823688437,,6138,15,8,1,8,0,331.0225744,N1O8,12.0,-8.079207301305486,0.3261676152287164,1N15,True
652,331.02218,3813990,7.8,6.581379550023434,331.02496240694006,,5614,19,7,0,6,0,331.0248112,O6,16.0,-7.948648895706008,0.456784310295361,,True
653,331.02793,114964143,302.2,8.060562406218875,331.0307125030174,,5616,12,11,0,11,0,331.0306842,O11,7.0,-8.32007463787202,0.08549967953685202,,True
3171,331.04134,3917954,8.1,6.593059332714501,331.04412272709146,,9880,13,11,0,10,0,331.0442624,O10,8.0,-8.827822535880195,-0.42191611328540285,2O18,True
654,331.04317,57285317,149.5,7.7580433206928525,331.04595275767036,,5622,16,11,0,8,0,331.0459404,O8,11.0,-8.368627014981087,0.03732917051422197,,True
655,331.04649,8599881,20.5,6.934492441778346,331.0492728131472,,5623,13,15,0,8,1,331.0493114,O8S1,6.0,-8.52259739820798,-0.11655923002867509,,True
638,329.08503,179151811,472.2,8.253221202696555,329.0877801137076,,5518,14,17,0,9,0,329.087805,O9,6.0,-8.432399979043705,-0.07562204381336764,,True
636,329.06714,6343081,14.5,6.802300257295055,329.0698898161687,,5512,14,17,0,7,1,329.0700468,O7S1,6.0,-8.833377660081839,-0.4770529339132972,,True
635,329.0639,33179044,85.6,7.52086386838195,329.06664976228376,,5511,17,13,0,7,0,329.0666758,O7,11.0,-8.435372537333324,-0.07912595877899431,,True
3158,329.05101,3262354,6.4,6.513531084817399,329.0537595479124,,3589,12,11,2,9,0,329.053713,N2O9,8.0,-8.214464366177175,0.1414599214826325,2C13,True
614,327.05176,3617666,7.4,6.558428468258233,327.054476379054,,5394,14,15,0,7,1,327.0543968,O7S1,7.0,-8.06226739589507,0.24332054473775722,,True
3150,327.05816,4015691,8.5,6.603760287264981,327.0608764849791,,7414,14,13,0,9,0,327.0607514,O9,8.0,-7.923298619402741,0.38245181827962355,1O18,True
615,327.06369,4178195,8.9,6.620988705019044,327.0664065765063,,5397,21,11,0,4,0,327.066282,O4,16.0,-7.9249991290536705,0.380890703747742,,True
616,327.06959,291063964,777.8,8.463988439706345,327.07230667415877,,5400,14,15,0,9,0,327.072155,O9,7.0,-7.8423062336325975,0.4637330217179196,,True
617,327.08082,8180779,19.6,6.912794660553127,327.08353686003335,,5404,13,15,2,8,0,327.0833884,N2O8,7.0,-7.852431798926618,0.45389047143163636,,True
618,327.08482,17452721,44.5,7.241863146089564,327.0875369262409,,5405,18,15,0,6,0,327.0874112,O6,11.0,-7.922041360545999,0.3843811671195012,,True
3152,327.09688,4312066,9.3,6.634685399492329,327.09959712586084,,3574,15,17,0,8,0,327.0996004,O8,7.0,-8.316732874819394,-0.010009609129652973,2C13,True
620,327.10596,197695695,527.6,8.295997212267132,327.10867727615897,,5412,15,19,0,8,0,327.1085404,O8,6.0,-7.888513081449867,0.41844263320910335,,True
621,327.12123,8432484,20.3,6.92595552582112,327.12394752892544,,5415,19,19,0,5,0,327.1237966,O5,10.0,-7.845959317671975,0.4613816757407646,,True
622,327.14233,30968578,80.7,7.490921264093254,327.14504787821215,,5421,16,23,0,7,0,327.1449258,O7,5.0,-7.934709650919479,0.3731624809557291,,True
623,328.02832,13020899,32.2,7.114640970196897,328.03105256086104,,5448,12,10,1,10,0,328.0310186,N1O10,8.0,-8.226661038005247,0.10352941988585061,,True
3153,328.03646,34971631,90.4,7.543715887321603,328.03919269590284,,611,13,11,0,10,0,328.0391246,O10,8.0,-8.122811580026978,0.2075846987593961,1C13,True
612,327.04445,6119032,14.1,6.78668272438264,327.0471662580697,,5392,12,11,2,9,0,327.047003,N2O9,8.0,-7.806217383482473,0.4991883985447521,,True
624,328.04358,8788217,21.0,6.943900772046725,328.04631281402516,,5451,16,10,1,7,0,328.0462748,N1O7,12.0,-8.214694715295757,0.11588006962794459,,True
625,328.06473,26845719,68.8,7.428875040020281,328.0674631649201,,5456,13,14,1,9,0,328.067404,N1O9,7.0,-8.150764042419667,0.18034379336548637,,True
3155,328.07284,42297378,109.8,7.626313446443003,328.07557329947605,,616,14,15,0,9,0,328.07551,O9,7.0,-8.138370340484313,0.19294178964911687,1C13,True
626,328.08005,4785261,10.4,6.67990563025675,328.08278341910204,,5459,17,14,1,6,0,328.0826602,N1O6,11.0,-7.955921835067912,0.3755733446780197,,True
3156,328.10925,28079190,72.1,7.4483845755516365,328.11198390359993,,620,15,19,0,8,0,328.1118954,O8,6.0,-8.062493427069432,0.26973602967548044,1C13,True
3157,328.14565,5182858,11.5,6.714569310197579,328.14838450761084,,622,16,23,0,7,0,328.1482808,O7,5.0,-8.017107368675623,0.3160388668817483,1C13,True
627,328.99109,3932924,8.1,6.59471555416476,328.9938385514801,,5490,15,5,0,9,0,328.993905,O9,13.0,-8.556389517301957,-0.2019749267817878,,True
628,328.99448,4380673,9.3,6.641540836014091,328.9972286078499,,5491,12,9,0,9,1,328.997276,O9S1,8.0,-8.49855060802802,-0.14405028120203942,,True
629,329.01223,72733531,190.4,7.861734671808911,329.0149789030088,,5495,12,9,0,11,0,329.0150342,O11,8.0,-8.52301478208297,-0.16806828095526805,,True
630,329.02752,32868720,84.8,7.516782791767636,329.0302691572713,,5499,16,9,0,8,0,329.0302904,O8,12.0,-8.41989348963374,-0.06456162047979093,,True
631,329.03087,6487669,14.9,6.812088684122252,329.03361921298074,,5500,13,13,0,8,1,329.0336614,O8S1,7.0,-8.483630483756585,-0.1282149039401771,,True
632,329.0428,5285126,11.7,6.72305534556065,329.0455494113767,,5503,20,9,0,5,0,329.0455466,O5,16.0,-8.347172689019873,0.008544035110164242,,True
633,329.04862,285442958,753.8,8.455519333244029,329.05136950816546,,5506,13,13,0,10,0,329.0514196,O10,7.0,-8.508092757507033,-0.1522310238641436,,True
3154,328.05172,5204037,11.5,6.716340375675618,328.05445294907196,,613,17,11,0,7,0,328.0543808,O7,12.0,-8.110850382526024,0.21993021947292052,1C13,True
387,303.10028,4637732,10.9,6.666305648509812,303.10261167525795,,4153,20,15,0,3,0,303.1026674,O3,13.0,-7.87653906332815,-0.18384774539957238,,True
386,303.0963,2956833,6.1,6.470826796549593,303.0986316133142,,4152,15,15,2,5,0,303.0986446,N2O5,9.0,-7.7354354491062844,-0.042846400169601694,,True
385,303.08503,32884376,92.0,7.516989605285198,303.0873614379143,,4149,16,15,0,6,0,303.0874112,O6,9.0,-7.856479391784391,-0.16418394127997205,,True
135,271.00779,7261375,20.1,6.861018865654776,271.0096445190213,,2725,10,7,0,9,0,271.009555,O9,7.0,-6.512685502832512,0.33031684563347236,,True
136,271.02303,11162961,32.3,7.0477794074506495,271.02488473476654,,2728,14,7,0,6,0,271.0248112,O6,11.0,-6.572092023957708,0.27132116145093454,,True
137,271.04415,62534122,192.3,7.796117056584921,271.0460050337695,,2735,11,11,0,8,0,271.0459404,O8,6.0,-6.605522286599097,0.2384605702495211,,True
138,271.05938,18618492,55.5,7.269944502499224,271.0612352493983,,2738,15,11,0,5,0,271.0611966,O5,10.0,-6.701807646489892,0.14258550748741602,,True
139,271.07463,3670734,8.9,6.564752914463738,271.07648546532084,,2742,19,11,0,2,0,271.0764528,O2,14.0,-6.724302244571638,0.12050224384613066,,True
140,271.08052,54351381,166.8,7.7352105834372145,271.0823755487193,,2744,12,15,0,7,0,271.0823258,O7,5.0,-6.66144498602216,0.18351885976874313,,True
141,271.09571,8973159,25.4,6.952945363305514,271.0975657638068,,2747,16,15,0,4,0,271.097582,O4,9.0,-6.905262622341125,-0.059890586466759654,,True
142,271.11689,11759232,34.1,7.070378958725356,271.11874606372913,,2753,13,19,0,6,0,271.1187112,O6,4.0,-6.717352675269209,0.12859211735126844,,True
143,271.13209,3906578,9.7,6.591796499996269,271.13394627898333,,2755,17,19,0,3,0,271.1339674,O3,8.0,-6.924252309716803,-0.07789882208141359,,True
144,272.03932,4224677,10.6,6.625793510331865,272.04118914566146,,2772,10,10,1,8,0,272.0411894,N1O8,6.0,-6.87175351701476,-0.0009349266023009544,,True
2994,272.04737,7722670,21.4,6.887767477251805,272.0492392599965,,137,11,11,0,8,0,272.0492954,O8,6.0,-7.0773938126679266,-0.20635967246826104,1C13,True
145,272.05454,5293814,13.9,6.723768678145399,272.05640936183534,,2774,14,10,1,5,0,272.0564456,N1O5,10.0,-7.0044287899174495,-0.13320090469617266,,True
146,272.07565,4240238,10.6,6.627390233759204,272.07751966168394,,2778,11,14,1,7,0,272.0775748,N1O7,5.0,-7.074452943791113,-0.2026565992558886,,True
2995,272.08379,6971543,19.1,6.843328910411099,272.08565977731075,,140,12,15,0,7,0,272.0856808,O7,5.0,-6.949281543946511,-0.077264959931666,1C13,True
147,272.96909,2777519,6.1,6.443657038474087,272.97097237068675,,2793,9,5,0,8,1,272.9710614,O8S1,7.0,-7.222010970288798,-0.3261492730682627,,True
148,273.00209,7610178,21.1,6.881394814919549,273.00397284079645,,2800,13,5,0,7,0,273.0040758,O7,11.0,-7.273884077301115,-0.3771343092867264,,True
149,273.02325,19517976,57.9,7.290434779641828,273.0251331422624,,2806,10,9,0,9,0,273.025205,O9,6.0,-7.160511059810308,-0.2631908567683495,,True
150,273.03847,25751721,77.2,7.4108062584578915,273.0403533591138,,2810,14,9,0,6,0,273.0404612,O6,10.0,-7.292692047223789,-0.39496302384360643,,True
151,273.05961,41163711,124.9,7.614514520467764,273.0614936603295,,2817,11,13,0,8,0,273.0615904,O8,5.0,-7.252576230433667,-0.3542778401773095,,True
2997,273.0733,2855182,6.3,6.455633797021954,273.07518385540385,,9801,12,13,0,7,0,273.0751686,O7,6.0,-6.8428045272152085,0.05586521815435614,2O18,True
152,273.07486,21189071,63.1,7.326111916200268,273.0767438776335,,2820,15,13,0,5,0,273.0768466,O5,9.0,-7.274875276845515,-0.37616651800986306,,True
153,273.09601,15549670,45.6,7.191721176726214,273.0978941790264,,2826,12,17,0,7,0,273.0979758,O7,4.0,-7.198149287760406,-0.2988706647174934,,True
154,273.11126,9794742,27.8,6.990993000876745,273.1131443963555,,2828,16,17,0,4,0,273.113232,O4,8.0,-7.220448403490594,-0.32075942950980546,,True
155,273.14765,3749884,9.1,6.574017833343959,273.14953491499483,,2834,17,21,0,3,0,273.1496174,O3,7.0,-7.202646003092208,-0.3019773776916631,,True
2998,274.02669,3253833,7.6,6.512395259406113,274.0285874614615,,149,10,9,0,9,0,274.02856,O9,6.0,-6.824106217445185,0.10021386623651052,1C13,True
2993,270.10462,7580151,21.1,6.879677857058648,270.1064617521201,,129,13,17,0,6,0,270.1064162,O6,5.0,-6.649971612192808,0.16864508704189887,1C13,True
2992,270.06819,10580810,30.5,7.024518915814954,270.0700312379359,,126,12,13,0,7,0,270.0700308,O7,6.0,-6.816009886455393,0.0016215642604295217,1C13,True
134,270.06009,8208320,23.1,6.914254278996449,270.0619311236182,,2698,11,12,1,7,0,270.0619248,N1O7,6.0,-6.793997344653677,0.023415437823413245,,True
2991,270.04706,2882415,6.5,6.459756509175668,270.04890093972824,,125,15,9,0,5,0,270.0489016,O5,11.0,-6.819505612217252,-0.002445008205734743,1C13,True
110,267.01283,14908778,44.2,7.173442047905975,267.0146283288996,,2575,11,7,0,8,0,267.0146404,O8,8.0,-6.7801525687831115,-0.04520763498979675,,True
111,267.02813,8017569,22.6,6.904042706198271,267.0299285427085,,2578,15,7,0,5,0,267.0298966,O5,12.0,-6.615738621367118,0.11962221805153078,,True
112,267.04921,52609119,162.4,7.721061029099151,267.05100883730717,,2584,12,11,0,7,0,267.0510258,O7,7.0,-6.799449635270369,-0.0635185458459037,,True
113,267.06448,7424374,20.8,6.870659841180241,267.06627905072224,,2587,16,11,0,4,0,267.066282,O4,11.0,-6.747388650124918,-0.011043242655113408,,True
114,267.08558,58922388,182.2,7.770280339565822,267.0873793456355,,2593,13,15,0,6,0,267.0874112,O6,6.0,-6.856182370404644,-0.11926569050564269,,True
115,267.10086,3692459,9.1,6.567315681730063,267.10265955921574,,2596,17,15,0,3,0,267.1026674,O3,10.0,-6.766686448903243,-0.02935494546548847,,True
116,267.12196,16696649,49.8,7.222629317444603,267.1237598541642,,2600,14,19,0,5,0,267.1237966,O5,5.0,-6.875463823765093,-0.13756107198928907,,True
117,268.04437,8087206,22.8,6.907798505744946,268.04618276806116,,2620,11,10,1,7,0,268.0462748,N1O7,7.0,-7.106235672919929,-0.3433434727003526,,True
