,m/z,intensity,S/N,log_intensity,mz_calibrated,mz_calibrated_Hline,tdb_index,C,H,N,O,S,theo,class,DBE,mz_E_ppm_BeforeCalibration,mz_E_ppm_AfterCalibration,isotope,track
2540,564.12762,4472085,7.1,6.650510049502728,564.1351750248108,,27634,38,18,3,3,0,564.1353644,N3O3,31.0,-13.727910868015543,-0.33569104352666296,,True
2541,565.01862,5653453,9.6,6.752313786011698,565.0261958622198,,27716,26,13,0,15,0,565.0259926,O15,20.0,-13.048249277903514,0.3597395915097144,,True
2542,565.03966,35047122,71.3,7.544652360367238,565.0472363544403,,27722,23,17,0,17,0,565.0471218,O17,15.0,-13.205624295929837,0.20273431344397555,,True
2543,565.05493,9066709,16.7,6.957449677081832,565.0625067116794,,27728,27,17,0,14,0,565.062378,O14,19.0,-13.18084567285408,0.22778313405012293,,True
2544,565.07605,45485785,93.2,7.657875694226002,565.0836272057849,,27737,24,21,0,16,0,565.0835072,O16,14.0,-13.196633603636315,0.21236823115537615,,True
2545,565.09117,5430236,9.1,6.734818704592621,565.0987475595243,,27744,28,21,0,13,0,565.0987634,O13,18.0,-13.437297144895584,-0.02803134027488351,,True
2534,561.22672,9479132,17.6,6.976768571001658,561.2342072796064,,27275,29,37,0,11,0,561.2341342,O11,11.0,-13.210529346258465,0.13021233377613406,,True
2520,559.12289,10908261,20.6,7.037755520679906,559.1303282421653,,26969,23,27,0,16,0,559.1304572,O16,10.0,-13.53387193023675,-0.2306399750604111,,True
2519,559.10158,24658529,49.5,7.391967165275218,559.1090177458643,,26959,39,15,2,3,0,559.1088154,N2O3,33.0,-12.940951386782972,0.36190784105322327,,True
2518,559.08635,18956895,37.5,7.277767204584527,559.093787391169,,26951,35,15,2,6,0,559.0935592,N2O6,29.0,-12.894442944819033,0.4081448718495249,,True
2500,555.14341,9663507,18.0,6.985134765581589,555.1507557046236,,26455,28,27,0,12,0,555.1507988,O12,15.0,-13.309536824797307,-0.07762823438285146,,True
2501,555.16461,13162005,25.3,7.119322051444375,555.1719561968353,,26465,25,31,0,14,0,555.171928,O14,10.0,-13.181502217347514,0.05078937505963905,,True
2502,555.1799,6992151,12.4,6.844610798596406,555.1872465518362,,26471,29,31,0,11,0,555.1871842,O11,14.0,-13.12025963021483,0.11230777283411099,,True
2503,555.20094,6800922,12.0,6.832567793936924,555.208287040347,,26480,26,35,0,13,0,555.2083134,O13,9.0,-13.280420739474215,-0.047477050091752085,,True
2504,555.21606,4142876,6.4,6.617301934668877,555.2234073914112,,26486,30,35,0,10,0,555.2235696,O10,13.0,-13.52536241474523,-0.2921500413015532,,True
3853,556.03771,4234121,6.6,6.626763264850478,556.0450764752261,,2494,25,15,0,15,0,556.0449976000001,O15,18.0,-13.10613355323578,0.1418504371687099,1C13,True
2505,557.01344,12271381,23.5,7.08889344022743,557.0208291537848,,26665,24,13,0,16,0,557.0209072,O16,18.0,-13.405600945214614,-0.14011361907441405,,True
